name,rating,latitude,longitude,type
"MileNorth, A Chicago Hotel",4.0,41.8960119,-87.6227944,hotel
Hotel Lincoln,4.0,41.9153354,-87.6345494,hotel
Ivy Boutique Hotel,4.0,41.8931561,-87.6213956,hotel
La Quinta Inn & Suites Chicago Downtown,2.5,41.8815473,-87.6350782,hotel
"Hotel 71, Wyndham Affiliate",3.5,41.8873858,-87.6256635,hotel
The Silversmith Hotel & Suites,3.5,41.881682,-87.6266569,hotel
JW Marriott Chicago,4.5,41.879266,-87.6330277,hotel
"theWit, a Doubletree Hotel",4.0,41.8860994,-87.627622,hotel
The Willows,2.5,41.933914,-87.6435099,hotel
Dana Hotel & Spa,4.0,41.8942694,-87.6283372,hotel
ACME Hotel Company Chicago,3.0,41.8922463,-87.6274987,hotel
James Chicago,4.5,41.8929963,-87.6259605,hotel
Fairfield Inn & Suites Chicago Downtown,2.5,41.8936483,-87.6219597,hotel
Courtyard Chicago Downtown/Magnificent Mile,3.0,41.8931221,-87.6231005,hotel
Homewood Suites by Hilton Chicago Downtown,3.0,41.8918965,-87.6262467,hotel
Carlton Inn Midway,2.0,41.8036613,-87.7219018,hotel
Residence Inn Chicago Downtown / River North,3.0,41.8896644,-87.6298061,hotel
Hampton Inn & Suites Chicago - Downtown,3.0,41.8906181,-87.6292008,hotel
Comfort Suites,3.0,41.8874214,-87.6250309,hotel
Amalfi Hotel Chicago,3.5,41.8894454,-87.6288876,hotel
Radisson Blu Aqua Hotel,4.0,41.8865275,-87.6208669,hotel
Park Hyatt Chicago,5.0,41.8970266,-87.6253125,hotel
Sofitel Chicago Water Tower,5.0,41.8986413,-87.6272153,hotel
Hotel Burnham - a Kimpton Hotel,4.0,41.8830439,-87.6282334,hotel
Hampton Majestic Chicago Theatre District,3.0,41.8808622,-87.6285869,hotel
The Ritz-Carlton Chicago (A Four Seasons Hotel),5.0,41.8977342,-87.6224083,hotel
Conrad Chicago,4.5,41.8911753,-87.6251872,hotel
The Talbott Hotel,4.0,41.8994577,-87.627489,hotel
"Palomar Chicago, a Kimpton Hotel",4.0,41.8911493,-87.6278016,hotel
Hotel Monaco Chicago - a Kimpton Hotel,4.0,41.8864913,-87.6260067,hotel
Four Seasons Hotel Chicago,5.0,41.8996386,-87.6248842,hotel
The Peninsula Chicago,5.0,41.8962892,-87.6249808,hotel
Trump International Hotel & Tower Chicago,5.0,41.8888632,-87.6264748,hotel
Waldorf Astoria Chicago,5.0,41.8997426,-87.6274764,hotel
Hartigan,4.4,42.0027,-87.6564,beach
Leone,4.6,42.0131,-87.6635,beach
Marion Mahony Griffin,4.6,42.0161,-87.6647,beach
Osterman,4.6,41.9877,-87.6545,beach
Foster,4.6,41.9785,-87.6515,beach
Humboldt,4.4,41.90643,-87.703717,beach
Montrose,4.6,41.9655,-87.6385,beach
North Avenue,4.6,41.9148,-87.6273,beach
Oak Street,4.6,41.9032,-87.6235,beach
Ohio Street,4.6,41.8935,-87.6152,beach
12th Street,4.5,41.8638,-87.6083,beach
57th Street Beach,4.6,41.7911,-87.5797,beach
63rd Street Beach,4.5,41.7827,-87.5748,beach
Margaret T Burroughs,4.5,41.8393,-87.6072,beach
Oakwood,4.5,41.8211,-87.5976,beach
South Shore,4.5,41.7689,-87.5636,beach
Calumet,4.5,41.7142,-87.5299,beach
Rainbow,4.5,41.758,-87.551,beach
Howard,4.5,42.0188,-87.6663,beach
Rogers,4.5,42.0213,-87.6666,beach
Juneway,4.5,42.0224,-87.6674,beach
Fargo,4.6,42.0161,-87.6647,beach
Montrose Dog,4.7,41.96869,-87.642617,beach
Columbia,4.5,42.0050541,-87.6571159,beach
Lane,4.6,41.9877,-87.6545,beach
Loyola,4.6,42.0131,-87.6635,beach
North Shore,4.4,42.0027,-87.6564,beach
Wrigley Field,4.7,41.9484,-87.6553,landmark
Tribune Tower,4.6,41.8902,-87.6233,landmark
Rookery Building,4.6,41.8819,-87.6318,landmark
Chicago Board of Trade Building,4.5,41.8789,-87.6319,landmark
Reliance Building,4.6,41.8841,-87.6237,landmark
Chicago Theatre,4.7,41.8855,-87.6272,landmark
Marina City,4.5,41.888,-87.6295,landmark
Auditorium Building,4.6,41.8763,-87.6244,landmark
Monadnock Building,4.5,41.8807,-87.6293,landmark
Carson Pirie Scott Building,4.6,41.8796,-87.6283,landmark
Crown Hall (IIT),4.5,41.8319,-87.6278,landmark
Robie House,4.8,41.7897,-87.5959,landmark
Glessner House,4.7,41.8663,-87.6226,landmark
International Cinema Museum,4.5,41.893837,-87.63675,museum
Serbian American Museum St Sava,4.8,41.937843,-87.6413,museum
Field Museum of Natural History,4.5,41.865055,-87.61736,museum
Spertus Museum,4.5,41.87419,-87.62447,museum
Loyola University Museum of Art,4.5,41.89743,-87.6244,museum
Cambodian Amrcn Heritage Museum,4.8,41.968395,-87.69999,museum
Museum of Science and Industry,4.7,41.791855,-87.58045,museum
Museum of Broadcast Communications,4.4,41.88899,-87.62818,museum
Museum of Illusions Chicago,4.4,41.88306,-87.6273,museum
Glessner House Museum,4.7,41.857803,-87.62096,museum
Leather Archives S & M Museum,4.7,41.998737,-87.66814,museum
Chicago Maritime Museum,4.8,41.830784,-87.655914,museum
Chicago Sports Museum,4.5,41.892025,-87.60755,museum
Chicago History Museum,4.7,41.91202,-87.63196,museum
Chicago Blues Museum Gallery,4.4,41.827595,-87.65951,museum
National Veterans Art Museum,4.6,41.954315,-87.748474,museum
Heritage Museum of Asian Art,4.6,41.83048,-87.651506,museum
Chicago Design Museum,4.5,41.884666,-87.62558,museum
Museums in Hand,5.0,41.878784,-87.63654,museum
Bronzeville Childrens Museum,4.1,41.725857,-87.58479,museum
Yollocalli Youth Museum,4.8,41.85774,-87.66161,museum
Smart Museum of Art,4.5,41.794678,-87.59959,museum
Bicycle Museum of America,4.6,41.89093,-87.616905,museum
American Writers Museum,4.8,41.8853,-87.62475,museum
National Pullman Porter Museum,4.7,41.705406,-87.60296,museum
Hellenic Museum,4.6,41.884766,-87.624725,museum
Museum of Contemporary Art,4.5,41.89691,-87.621605,museum
Chicago Baseball Museum,4.1,41.93681,-87.64788,museum
Oriental Institute Museum,4.8,41.789497,-87.597565,museum
Museum of Sports History,4.5,41.89253,-87.61999,museum
Depaul Art Museum,4.6,41.925278,-87.65248,museum
Chicago Blues Museum,4.4,41.8372,-87.6851,museum
Richard H. Driehaus Museum,4.7,41.89424,-87.62644,museum
Swedish American Museum,4.7,41.976585,-87.668236,museum
Haitian American Museum of Chicago,4.8,41.96638,-87.65981,museum
Museum Campus,4.8,41.868797,-87.61728,museum
National Public Housing Museum,4.4,41.8929,-87.64075,museum
Ukrainian National Museum,4.8,41.894714,-87.6842,museum
Sackrider Museum of Handbags,4.9,41.926105,-87.701294,museum
Fire Museum of Chicago,4.6,41.79907,-87.68438,museum
Chinese-American Museum of Chicago,4.6,41.851124,-87.63346,museum
America's Children's Museum On,4.0,41.911507,-87.67947,museum
Museum of Law & Science,4.0,41.776703,-87.676094,museum
Clarke House Museum,4.5,41.857536,-87.62208,museum
O'Brien Museum,4.5,41.895393,-87.63434,museum
Hands On Childrens Art Museum,4.5,41.70675,-87.667305,museum
Smith Museum-Stained Glass Wnd,4.7,41.89199,-87.6095,museum
Lithuanian Museum,4.7,41.791664,-87.68276,museum
National Hellenic Museum,4.6,41.87717,-87.64706,museum
Peggy Notebeart Nature Museum,4.5,41.904297,-87.630165,museum
Museums in the Park,4.5,41.88071,-87.62354,museum
Jane Addams Hull-House Museum,4.6,41.87154,-87.64729,museum
Polish Museum of America,4.6,41.899723,-87.66109,museum
Indo-American Heritage Museum,4.8,41.99654,-87.6998,museum
Museum of Contemporary Photography,4.5,41.874413,-87.62448,museum
National Mexican Museum of Art,4.8,41.85587,-87.67348,museum
Peace Museum,4.5,41.88163,-87.715996,museum
Chicago Children's Museum,4.4,41.892025,-87.60755,museum
Art Institute of Chicago,5.0,41.8796,-87.6237,museum
National Museum of Mexican Art,4.6,41.8559,-87.6735,museum
Chicago Children’s Museum,4.4,41.892,-87.6076,museum
Adler Planetarium,4.2,41.8665,-87.6066,planetarium
Imperial Restaurant,4.1,41.8545544,-87.6322747,restaurant
Hoanh Long Vietnamese & Chinese Restaurant,4.4,41.9937167,-87.7132667,restaurant
So Bowl,4.6,42.0118433,-87.783817,restaurant
Tasty Asian Restaurant,4.1,41.9456033,-87.6464795,restaurant
Dolo Restaurant and Bar,4.3,41.8525451,-87.6360999,restaurant
Little Vietnam Restaurant,4.6,41.9839394,-87.6594231,restaurant
Asian Station,4.7,42.007726,-87.665561,restaurant
Clark Street Dog,4.3,41.9374572,-87.6489609,restaurant
Wok Cuisine,4.4,41.9644955,-87.7088047,restaurant
Le Colonial Chicago,4.5,41.9005227,-87.6260999,restaurant
PhÂ·ÂªÃ¼ 777,4.2,41.9731221,-87.6574066,restaurant
China Kitchen,4.1,42.3198264,-87.8656701,restaurant
Umai,4.5,41.8725288,-87.6308608,restaurant
Shine,4.4,41.9219369,-87.6484005,restaurant
Rose Mary,4.5,41.8869519,-87.6511541,restaurant
Immm Rice & Beyond,4.5,41.9730214,-87.6595058,restaurant
Beerability slots,4.3,42.3268471,-87.8390508,restaurant
Little Bad Wolf,4.6,41.9833483,-87.6690624,restaurant
Cafe El Tapatio,4.4,41.943492,-87.66908,cafe
Kin Sushi & Thai Cuisine,4.4,41.9021698,-87.6650743,restaurant
Burger King,3.5,42.3159928,-87.8652104,restaurant
Little Wok - Lakeview,4.3,41.9390051,-87.6446044,restaurant
Que Onda Mexican Restaurant,4.4,42.0030021,-87.8161179,restaurant
Pingpong,4.4,41.9424504,-87.6446261,restaurant
Wingstop,3.7,42.3197465,-87.8653266,restaurant
Steak 48,4.5,41.892992,-87.6264649,restaurant
Orange Garden Restaurant,4.1,41.9543806,-87.6780553,restaurant
Little Wok - Wicker Park,4.2,41.9033844,-87.6769543,restaurant
Rollapalooza,4.6,41.9431889,-87.6494917,restaurant
HaiSous Vietnamese Kitchen,4.5,41.8578927,-87.6533712,restaurant
VN Tofu & Fast Food,4.4,41.9734683,-87.6560269,restaurant
China Palace,3.8,41.9896698,-87.6593866,restaurant
House of Wah Sun,4.4,41.954162,-87.7095838,restaurant
Chilam Balam,4.5,41.9372342,-87.6440711,restaurant
Su Casa Mexican Restaurant,3.9,41.8931091,-87.6261703,restaurant
Girl & The Goat,4.7,41.8841279,-87.6479354,restaurant
China Kitchen,4.0,41.975763,-87.6775374,restaurant
RAMEN-SAN,4.4,41.8898705,-87.6303577,restaurant
Jin Ju,4.6,41.9764,-87.6682556,restaurant
Jeong,4.8,41.8962398,-87.6648334,restaurant
Tamaleria And Restaurant Isabel,4.4,42.3411469,-87.8413662,restaurant
Andros Taverna,4.5,41.9273607,-87.7048376,restaurant
Asian Eats Chicago,5.0,41.9734741,-87.6557125,restaurant
Margaritaville - Chicago,3.5,41.8913811,-87.608249,restaurant
Miss Saigon Restaurant,4.5,41.9731607,-87.6589699,restaurant
Viaggio Restaurant Chicago,4.7,41.8814642,-87.6531605,restaurant
Nia's Hot Slots and Pizzeria,3.0,42.3191451,-87.8626167,restaurant
Bodega Sur,4.7,41.9505503,-87.6637842,restaurant
S.K.Y.,4.7,41.8578178,-87.657778,restaurant
Rice'N Bread,4.7,41.9446107,-87.6541123,restaurant
urbanbelly,4.4,41.9094907,-87.677595,restaurant
Min Min Asian Cafe,4.0,41.9541143,-87.6666783,restaurant
China Cafe,3.8,41.9695985,-87.6553715,cafe
Silk Road of Chicago,4.2,41.8813636,-87.6317809,restaurant
EL G-FE,4.3,41.8049129,-87.7434941,restaurant
Big Bowl Chinese Express,2.9,41.891322,-87.6077877,restaurant
Double Happiness,4.6,41.973132,-87.6573839,restaurant
Friendship Chinese,4.4,41.9325159,-87.713532,restaurant
Kitchen + Kocktails by Kevin Kelley Chicago,4.0,41.8906471,-87.6268582,restaurant
Lao Sze Chuan,4.2,41.9700191,-87.6600111,restaurant
Strings Ramen Shop Lakeview,4.6,41.9397698,-87.6523433,restaurant
Okami Sushi Chicago,4.7,41.909201,-87.7956417,restaurant
Original Maxwell Street,3.9,41.8771027,-87.7454455,restaurant
Uvae Kitchen and Wine Bar,4.6,41.9833723,-87.6685482,restaurant
Lola Adang's Kusina,4.6,42.3164074,-87.8654645,restaurant
the Albert,4.5,41.8936097,-87.6215573,restaurant
Northern Taste,4.5,41.8321726,-87.6459874,restaurant
Big Bowl,4.2,41.8926642,-87.625772,restaurant
Rica Arepa | Venezuelan Restaurant,4.7,41.9348578,-87.6615496,restaurant
Yellowtail Sushi Bar & Asian Kitchen,4.5,41.9387933,-87.6445207,restaurant
Hai Yen Restaurant,4.4,41.9731741,-87.657106,restaurant
Sweet Rice Chicago,4.6,41.9160148,-87.6876581,restaurant
The Licking Chicago,3.4,41.8799445,-87.7523053,restaurant
Fried Rice Express,4.3,41.980868,-87.805137,restaurant
Ceres' Table,4.2,41.9384546,-87.6446285,restaurant
Dimo's Pizza Wrigley,4.3,41.9451748,-87.6547605,restaurant
Dong Ky Vietnamese restaurant,4.5,41.970998,-87.658989,restaurant
Dragon Gate,4.4,42.0007788,-87.6716957,restaurant
China Delight,4.3,41.9094351,-87.7906665,restaurant
Tanuki Sushi & Grill,4.6,41.9365556,-87.654218,restaurant
Alla Vita,4.3,41.884577,-87.6425231,restaurant
Musashiya Ramen,4.5,41.9360619,-87.6444099,restaurant
Cabra,4.5,41.8858604,-87.6490707,restaurant
Lan's Old Town,3.6,41.917137,-87.6648405,restaurant
Popeyes Louisiana Kitchen,3.8,42.3198029,-87.8661616,restaurant
The Curragh Irish Pub,4.4,42.0030404,-87.8162708,restaurant
Sal's Trattoria,4.6,41.9335,-87.6639205,restaurant
La Cantina,4.4,41.8563107,-87.6236981,restaurant
Roka Akor - Chicago,4.6,41.890689,-87.6313365,restaurant
Wow Bao â€šÃ„Ã¬ Theater District,3.9,41.8859844,-87.6281326,restaurant
Aloha Poke Co.,3.8,41.93985,-87.6509974,restaurant
The Lobby,4.6,41.8959951,-87.6251197,restaurant
Hermosa Restaurant,4.6,41.9173276,-87.7361533,restaurant
MamâˆšÂ° Carmen Cocina,,42.3411469,-87.8413662,restaurant
Tokyo at Siam IL,4.4,42.3093493,-87.8619848,restaurant
SaiMai Thai Restaurant,4.3,41.9184917,-87.6379423,restaurant
S&G Restaurant,4.6,41.9362655,-87.664142,restaurant
Porto,4.1,41.8963116,-87.6675548,restaurant
Jorge's Tacos & Harold's Shrimp & Chicken - North Chicago,3.0,42.331993,-87.8571586,restaurant
Dairy Queen (Treat),3.6,41.9220107,-87.6442172,restaurant
Go 4 Food,4.6,41.8511146,-87.6326051,restaurant
Foreign Taste,4.2,42.3197086,-87.860079,restaurant
Late Night Thai,3.5,41.9398343,-87.669727,restaurant
Jessie's Diner,4.8,42.3410908,-87.8452103,restaurant
Kopi Cafe,4.6,41.9785917,-87.6681583,cafe
The VIG Chicago,4.4,41.909915,-87.6344753,restaurant
Simply Pasteur,4.4,41.9825693,-87.6597405,restaurant
RL Restaurant,4.6,41.8965408,-87.6249154,restaurant
Duck Duck Goat,4.5,41.8865639,-87.6495891,restaurant
The Capital Grille,4.6,41.893506,-87.622498,restaurant
Big Bowl Chinese & Sushi,1.6,41.788153,-87.7423062,restaurant
Evergreen Restaurant,4.3,41.8487231,-87.6315956,restaurant
Half Shell,4.5,41.932969,-87.6465708,restaurant
Carnitas Uruapan Restaurant,4.6,41.8575813,-87.6696819,restaurant
Taco & Burrito House,3.9,41.937674,-87.644542,restaurant
Hing Wang,4.7,41.9655742,-87.6585951,restaurant
Moon Palace Express,4.2,41.8531761,-87.6325439,restaurant
Il Culaccino - Chicago Italian Restaurant,4.3,41.853206,-87.622482,restaurant
Taco & Burrito House,4.4,41.9539254,-87.6499715,restaurant
Brightwok Kitchen and Catering,4.4,41.8936249,-87.6279255,restaurant
Eng's Asian Cuisine,4.1,42.014448,-87.690794,restaurant
Siam Treasure,4.4,42.0114772,-87.8071241,restaurant
Crisp,4.7,41.9361111,-87.6444389,restaurant
Phoenix Restaurant,4.2,41.8536197,-87.6329552,restaurant
Eleven19 kitchen & cocktails,4.5,42.3410752,-87.8459246,restaurant
2 Asian Brothers,4.3,41.9759714,-87.7096859,restaurant
Nonno Pino's,4.6,42.0030475,-87.8169014,restaurant
312 Chicago,4.4,41.8843462,-87.6328186,restaurant
Jibek Jolu,4.6,41.9731882,-87.6912697,restaurant
Oriole,4.8,41.8861692,-87.6450939,restaurant
Mako,4.5,41.8855483,-87.6469329,restaurant
Panda Express,3.8,41.7746555,-87.7419133,restaurant
Que Rico Mexican Restaurant,4.3,41.932966,-87.6637136,restaurant
Smyth,4.6,41.8849722,-87.6605593,restaurant
Chicken Inn,4.7,42.018047,-87.807069,restaurant
Subway,3.9,42.3172874,-87.8656527,restaurant
IDOF - I Dream of Falafel,4.4,41.9398675,-87.6513051,restaurant
Batter & Berries,4.5,41.9316,-87.657725,restaurant
Mixteco Grill,4.3,41.9398725,-87.6511306,restaurant
P.S.BANGKOK,4.4,41.9429931,-87.6528695,restaurant
EUROASIA RESTAURANT,4.6,41.9004057,-87.6377851,restaurant
Gene & Georgetti,4.5,41.8908839,-87.6357762,restaurant
Mei Shung,3.9,41.9822029,-87.6596987,restaurant
MingHin Cuisine,4.3,41.8851696,-87.6191526,restaurant
CASA MATEO,3.9,41.8242396,-87.7440043,restaurant
Hing Kee,4.1,41.8538723,-87.633744,restaurant
Chopstick Express,3.7,42.0126744,-87.8070118,restaurant
Hello Sushi Sky Thai,4.1,41.9983414,-87.663801,restaurant
Level Two Restaurant,4.1,41.8938374,-87.6223754,restaurant
The Silver Palm,4.2,41.895577,-87.6547697,restaurant
Flat Top Grill,4.2,41.8811278,-87.6263889,restaurant
"Kuya's Carry Out, Catering, and Groceries",4.1,42.3182321,-87.8663299,restaurant
Green Leaf Thai Cuisine,4.3,41.9665431,-87.6891217,restaurant
Krung Thep Thai Cuisine,4.5,41.9401875,-87.6490962,restaurant
Spinz,1.7,42.3178981,-87.8355254,restaurant
Xi'an Cuisine,4.2,41.8778109,-87.6466677,restaurant
Joy Yee,4.3,41.8540611,-87.633873,restaurant
Opart Thai House - West Town,4.3,41.89634,-87.666777,restaurant
AO Hawaiian Hideout,4.5,41.8653142,-87.6255363,restaurant
Nori & Wasabi,4.8,41.9382619,-87.6490375,restaurant
Jin Thai,4.5,41.9816729,-87.6602834,restaurant
Lao Sze Chuan (Grant Park),4.0,41.8738548,-87.6262989,restaurant
Han 202 Restaurant,4.7,41.837921,-87.641748,restaurant
Shan Restaurant,4.2,41.9750137,-87.6554811,restaurant
Chicago Oyster House,4.3,41.855733,-87.621991,restaurant
Yindee Restaurant,4.6,41.947066,-87.674956,restaurant
Ora,4.6,41.9855483,-87.6688552,restaurant
Noodles In the Pot,4.4,41.9269773,-87.6486927,restaurant
Nori Sushi At Edgewater,4.4,41.9980194,-87.6621052,restaurant
DaNang kitchen,4.5,41.973176,-87.6558352,restaurant
"Venteux Brasserie, Cafe & Oyster Bar",4.3,41.8865354,-87.6249028,restaurant
The Walnut Room,4.2,41.8833498,-87.6270667,restaurant
El Jardin,4.1,41.942726,-87.6527613,restaurant
Bamboo Garden Restaurant,4.0,41.9401826,-87.6506281,restaurant
Hon Kee BBQ & Seafood Restaurant,4.3,41.9736685,-87.6576224,restaurant
Brightwok Kitchen and Catering,4.5,41.8793659,-87.6267503,restaurant
Bacchanalia,4.7,41.8480282,-87.6829453,restaurant
Vines On Clark,4.1,41.9468816,-87.6564539,restaurant
Saigon Sisters,4.7,41.8855703,-87.6421656,restaurant
Club Lucky,4.5,41.9125167,-87.6736917,restaurant
Roister,4.5,41.8865282,-87.6518464,restaurant
Silver Seafood Restaurant,4.4,41.9699897,-87.6594848,restaurant
Dairy Queen (Treat),4.4,41.951104,-87.6638465,restaurant
Alice & Friends' Vegan Kitchen,4.8,41.9874816,-87.6604635,restaurant
Lan's Nine Nines Asian Bistro,4.8,41.9170111,-87.6649435,restaurant
About Last Knife,4.0,41.8851439,-87.6249203,restaurant
TAO Chicago,4.3,41.8934131,-87.6300271,restaurant
Roanoke Restaurant,4.3,41.8818554,-87.6319806,restaurant
